EQ1.1
E
AKYR	2005.1691	0.00000
ANOP	2005.1663	0.00000
ATRS	2005.4018	0.00000
GVDS	2006.5188	0.00000
KERY	2005.0486	0.00000
KITH	2005.0486	0.00000
KOUN	2005.0486	0.00000
KRYO	2005.3881	0.00000
MEN1	2005.0486	0.00000
MET4	2005.0486	0.00000
NEA1	2005.0486	0.00000
PSAR	2005.0486	0.00000
RLSO	2006.6037	0.00000
SPR2	2006.5791	0.00000
TUC2	2005.0486	0.00000
VASS	2005.0486	0.00000
XRSO	2005.0486	0.00000
N
AKYR	2005.1691	0.00000
ANOP	2005.1663	0.00000
ATRS	2005.4018	0.00000
GVDS	2006.5188	0.00000
KERY	2005.0486	0.00000
KITH	2005.0486	0.00000
KOUN	2005.0486	0.00000
KRYO	2005.3881	0.00000
MEN1	2005.0486	0.00000
MET4	2005.0486	0.00000
NEA1	2005.0486	0.00000
PSAR	2005.0486	0.00000
RLSO	2006.6037	0.00000
SPR2	2006.5791	0.00000
TUC2	2005.0486	0.00000
VASS	2005.0486	0.00000
XRSO	2005.0486	0.00000
U
AKYR	2006.1711	957.24129
ANOP	2006.0014	1000.00000
ATRS	2006.0014	946.04826
GVDS	2006.4860	0.00000
KERY	2006.0014	961.99603
KITH	2006.0014	958.56709
KOUN	2006.4586	889.68477
KRYO	2006.0014	953.69084
MEN1	2006.0014	961.47598
MET4	2006.0014	961.52153
NEA1	2006.0014	960.83228
PSAR	2006.4422	992.47413
RLSO	2007.0007	1000.00000
SPR2	2007.0007	1000.00000
TUC2	2006.0014	961.92716
VASS	2005.0212	0.00000
XRSO	2006.0014	961.87236
EQ1.2
E
AKYR	2005.1691	0.00000
ANOP	2005.1663	0.00000
ATRS	2005.4018	0.00000
GVDS	2006.5188	0.00000
KERY	2005.0486	0.00000
KITH	2005.0486	0.00000
KOUN	2005.0486	0.00000
KRYO	2005.3881	0.00000
MEN1	2005.0486	0.00000
MET4	2005.0486	0.00000
NEA1	2005.0486	0.00000
PSAR	2005.0486	0.00000
RLSO	2006.6037	0.00000
SPR2	2006.5791	0.00000
TRIZ	2005.0486	0.00000
TUC2	2005.0486	0.00000
VASS	2005.0486	0.00000
XRSO	2005.0486	0.00000
N
AKYR	2005.1691	0.00000
ANOP	2005.1663	0.00000
ATRS	2005.4018	0.00000
GVDS	2006.5188	0.00000
KERY	2005.0486	0.00000
KITH	2005.0486	0.00000
KOUN	2005.0486	0.00000
KRYO	2005.3881	0.00000
MEN1	2005.0486	0.00000
MET4	2005.0486	0.00000
NEA1	2005.0486	0.00000
PSAR	2005.0486	0.00000
RLSO	2006.6037	0.00000
SPR2	2006.5791	0.00000
TRIZ	2005.0486	0.00000
TUC2	2005.0486	0.00000
VASS	2005.0486	0.00000
XRSO	2005.0486	0.00000
U
AKYR	2006.1711	957.24129
ANOP	2006.0014	1000.00000
ATRS	2006.0014	946.04826
GVDS	2006.4860	0.00000
KERY	2006.0014	961.99603
KITH	2006.0014	958.56709
KOUN	2006.4586	889.68477
KRYO	2006.0014	953.69084
MEN1	2006.0014	961.47598
MET4	2006.0014	961.52153
NEA1	2006.0014	960.83228
PSAR	2006.4422	992.47413
RLSO	2007.0007	1000.00000
SPR2	2007.0007	1000.00000
TRIZ	2006.0014	1000.00000
TUC2	2006.0014	961.92716
VASS	2005.0212	0.00000
XRSO	2006.0014	961.87236
EQ2.1
E
ATRS	2007.1485	0.00000
JPA1	2008.6023	0.00000
KERY	2007.1485	0.00000
KITH	2007.1485	0.00000
KORI	2008.6051	0.00000
KRYO	2007.1513	0.00000
MEN1	2007.1485	0.00000
MET4	2007.1485	0.00000
PYLO	2007.7344	0.00000
SPET	2008.9719	0.00000
SPR2	2007.1485	0.00000
VASS	2007.1485	0.00000
N
ATRS	2007.1485	0.00000
JPA1	2008.6023	0.00000
KERY	2007.1485	0.00000
KITH	2007.1485	0.00000
KORI	2008.6051	0.00000
KRYO	2007.1513	0.00000
MEN1	2007.1485	0.00000
MET4	2007.1485	0.00000
PYLO	2007.7344	0.00000
SPET	2008.9719	0.00000
SPR2	2007.1485	0.00000
VASS	2007.1485	0.00000
U
ATRS	2007.1211	0.00000
JPA1	2008.5722	0.00000
KERY	2008.0000	1000.00000
KITH	2007.1211	0.00000
KORI	2009.0021	1000.00000
KRYO	2008.0055	844.31119
MEN1	2007.1211	0.00000
MET4	2007.1211	0.00000
PYLO	2008.0000	730.23165
SPET	2008.9418	0.00000
SPR2	2008.0000	1000.00000
VASS	2008.0000	1000.00000
EQ2.2
E
ATRS	2007.1485	0.00000
JPA1	2008.6023	0.00000
KERY	2007.1485	0.00000
KITH	2007.1485	0.00000
KORI	2008.6051	0.00000
KRYO	2007.1513	0.00000
MEN1	2007.1485	0.00000
MET4	2007.1485	0.00000
