EQ1.1 : 2006.0192
E
ATRS	NO_DATA_AFTER_EVENT	N/A
JPA1	2008.57220	0.00000
KERY	NO_DATA_AFTER_EVENT	N/A
KITH	NO_DATA_AFTER_EVENT	N/A
KORI	2008.57770	0.00000
KRYO	2008.12050	-5.00247
MEN1	NO_DATA_AFTER_EVENT	N/A
MET4	NO_DATA_AFTER_EVENT	N/A
PYLO	2008.12050	-20.67628
SPET	2008.94180	0.00000
SPR2	NO_DATA_AFTER_EVENT	N/A
VASS	NO_DATA_AFTER_EVENT	N/A
U
ATRS	NO_DATA_AFTER_EVENT	N/A
JPA1	2008.57220	0.00000
KERY	NO_DATA_AFTER_EVENT	N/A
KITH	NO_DATA_AFTER_EVENT	N/A
KORI	2008.57770	0.00000
KRYO	2008.12050	0.00000
MEN1	NO_DATA_AFTER_EVENT	N/A
MET4	NO_DATA_AFTER_EVENT	N/A
PYLO	2008.12050	0.00000
SPET	2008.94180	0.00000
SPR2	NO_DATA_AFTER_EVENT	N/A
VASS	NO_DATA_AFTER_EVENT	N/A
EQ3.1 : 2008.1202
E
JPA1	2008.57220	0.00000
KERY	NO_DATA_AFTER_EVENT	N/A
MET4	NO_DATA_AFTER_EVENT	N/A
PYLO	2008.12050	0.00000
SPR2	NO_DATA_AFTER_EVENT	N/A
VASS	NO_DATA_AFTER_EVENT	N/A
N
JPA1	2008.57220	0.00000
KERY	NO_DATA_AFTER_EVENT	N/A
MET4	NO_DATA_AFTER_EVENT	N/A
PYLO	2008.12050	-20.67628
SPR2	NO_DATA_AFTER_EVENT	N/A
VASS	NO_DATA_AFTER_EVENT	N/A
U
JPA1	2008.57220	0.00000
KERY	NO_DATA_AFTER_EVENT	N/A
MET4	NO_DATA_AFTER_EVENT	N/A
PYLO	2008.12050	0.00000
SPR2	NO_DATA_AFTER_EVENT	N/A
VASS	NO_DATA_AFTER_EVENT	N/A
EQ3.2 : 2008.1202
E
JPA1	2008.57220	0.00000
KERY	NO_DATA_AFTER_EVENT	N/A
MET4	NO_DATA_AFTER_EVENT	N/A
PYLO	2008.12050	0.00000
SPR2	NO_DATA_AFTER_EVENT	N/A
VASS	NO_DATA_AFTER_EVENT	N/A
N
JPA1	2008.57220	0.00000
KERY	NO_DATA_AFTER_EVENT	N/A
MET4	NO_DATA_AFTER_EVENT	N/A
PYLO	2008.12050	-20.67628
SPR2	NO_DATA_AFTER_EVENT	N/A
VASS	NO_DATA_AFTER_EVENT	N/A
U
JPA1	2008.57220	0.00000
KERY	NO_DATA_AFTER_EVENT	N/A
MET4	NO_DATA_AFTER_EVENT	N/A
PYLO	2008.12050	0.00000
SPR2	NO_DATA_AFTER_EVENT	N/A
VASS	NO_DATA_AFTER_EVENT	N/A
EQ4.1 : 2013.7781
E
MIL7	2013.77960	0.00000
NEAB	2013.77960	0.00000
RETH	2013.77960	0.00000
TUC2	2013.77960	0.00000
N
MIL7	2013.77960	1.02640
NEAB	2013.77960	-1.09254
RETH	2013.77960	0.21290
TUC2	2013.77960	-0.31583
U
MIL7	2013.77960	0.00000
NEAB	2013.77960	0.00000
RETH	2013.77960	0.00000
TUC2	2013.77960	0.00000
EQ4.2 : 2013.7781
E
NEAB	2013.77960	0.00000
RETH	2013.77960	0.00000
TUC2	2013.77960	0.00000
N
NEAB	2013.77960	-1.09254
RETH	2013.77960	0.21290
TUC2	2013.77960	-0.31583
U
NEAB	2013.77960	0.00000
RETH	2013.77960	0.00000
TUC2	2013.77960	0.00000
EQ5.1 : 2014.3918
E
AFYT	2014.39840	0.00000
ALE3	2015.01440	0.00000
ANAV	2014.39840	0.00000
ANDR	2014.39840	0.00000
ATAL	2014.40660	0.00000
AUT1	2014.39290	0.00000
AYD1	2014.39290	0.00000
AYVL	2014.39290	0.00000
BALK	2014.39290	0.00000
BAND	NO_DATA_AFTER_EVENT	N/A
BNDR	2014.39290	0.00000
CANA	2014.39290	0.00000
CESM	2014.39290	0.00000
DEIR	2014.39290	0.00000
DUTH	2014.39290	0.00000
DYNG	2014.39290	0.00000
EDES	2014.39840	0.00000
EDIR	2014.39290	0.00000
FLO2	2014.39840	0.00000
GOD1	2015.01710	0.00000
HALK	2014.39840	0.00000
HAR3	2014.41480	0.00000
IPS1	2014.43120	0.00000
IPSA	2014.39290	0.00000
ISTI	2014.39840	0.00000
IZMI	2014.39290	0.00000
KAL1	2015.01440	0.00000
KAL2	2014.82550	0.00000
KATE	2014.39290	0.00000
KAV1	2014.39840	0.00000
KIKA	2014.39290	0.00000
KIRL	2014.39290	0.00000
KOMO	2014.40380	0.00000
KORI	2014.39840	0.00000
KRU1	2014.39840	0.00000
KRYO	NO_DATA_AFTER_EVENT	N/A
KYMI	2015.01440	0.00000
LEMN	2014.39290	0.00000
LES4	2015.01440	0.00000
LYGO	2015.04180	0.00000
MET0	2014.39840	0.00000
NOA1	2014.39290	0.00000
NVRK	NO_DATA_AFTER_EVENT	N/A
ORE1	2014.39840	0.00000
PRKV	2014.39290	0.00000
PRO2	2014.39840	0.00000
PTOL	2014.39840	0.00000
ROZH	2014.39290	0.00000
SALH	2014.39290	0.00000
SAM3	2014.39840	0.00000
SAN9	2014.39290	0.00000
SARY	2014.39290	0.00000
SERR	2014.39840	0.00000
SKOP	2014.39840	0.00000
SKYR	2014.39290	0.00000
SMOL	2014.82550	0.00000
SPET	2014.39840	0.00000
STRA	2014.39840	0.00000
SVIL	2014.48320	0.00000
SYRO	2014.39840	0.00000
TEKR	2014.39290	0.00000
THI1	2014.39840	0.00000
THS1	2014.39840	0.00000
VDVA	2014.39290	0.00000
VERI	2015.17590	0.00000
VOLO	2014.39840	0.00000
XIOS	2014.39840	0.00000
YENC	2014.39290	0.00000
N
AFYT	2014.39840	-0.79554
ALE3	2015.01440	0.00000
ANAV	2014.39840	-1.61834
ANDR	2014.39840	1.65758
ATAL	2014.40660	0.75467
AUT1	2014.39290	1.56019
AYD1	2014.39290	2.00033
AYVL	2014.39290	2.51500
BALK	2014.39290	2.85438
BAND	NO_DATA_AFTER_EVENT	N/A
BNDR	2014.39290	0.04415
CANA	2014.39290	16.00382
CESM	2014.39290	-0.20605
DEIR	2014.39290	2.82219
DUTH	2014.39290	1.73646
DYNG	2014.39290	-0.35740
EDES	2014.39840	-1.14347
EDIR	2014.39290	10.85586
FLO2	2014.39840	1.53351
GOD1	2015.01710	0.00000
HALK	2014.39840	-1.50900
