Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
ABEL,38.9231888039,21.214994834200013,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,1.2497016944141859,-0.928365584004148,-0.8279575172099876,-0.11990836982378461,-0.0009898861100591516,0.0007533271513624415,-0.00011990836982378461,1.5496683708308576e-08,1.647903696794349e-08,-8.252223763939232e-09,-6.718557839234947e-09,1.5061452205491255e-09,-5.208994079348652e-09
AGRI,38.623994895,21.409030168699985,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,2.5104250062829547,-1.7492097504331297,-1.8006596709140974,-0.011122531365453936,-0.002101341436290205,0.0013734897777546856,-1.1122531365453936e-05,3.6233259667245404e-08,1.4469206826398935e-08,-2.0841807116561332e-08,-1.2905574707624148e-08,7.488459445287118e-10,-7.047011039371266e-09
AIGI,38.2419602042,22.072721371400007,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,3.8958679706353605,-3.177492955820182,-2.2259636772894034,0.3555439040735242,-0.0027913606937104984,0.0026943795676382873,0.0003555439040735242,2.781094388274117e-08,-2.532135028846696e-08,-3.7254037549902656e-08,9.327539514517205e-09,-2.0483596713872436e-09,-2.086772279724297e-09
AMFI,38.8924578869,21.14973226500001,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,1.2430897983438354,-0.9287143925646258,-0.8118436052967015,-0.1538563756517397,-0.0009741348119043924,0.000756744230670986,-0.0001538563756517397,1.5649982310874193e-08,1.8501789422801133e-08,-8.213723941523494e-09,-6.927701718494548e-09,2.0149500284862862e-09,-5.497244825722443e-09
ANAV,37.7333572797,23.904107016900014,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,1.0272229721489026,-0.9485161387462282,-0.3464440849827044,0.18836312013997825,-0.0005210643428962825,0.0008649845779224175,0.00018836312013997825,-1.1925405904745308e-09,-4.374577217992411e-09,-2.4384462714316963e-10,6.592036874790887e-09,4.41923639502262e-10,1.2028608117439757e-09
ANIK,36.8260211464,22.28206732130002,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,1.183575944103386,-0.9459566776731773,-0.7075151996874768,-0.07375785813685046,-0.0008750131960521823,0.0007935765247018278,-7.375785813685046e-05,-7.918470170163879e-10,-1.0202048824370756e-08,4.146086599046346e-08,5.0512220332029715e-09,6.214658504769654e-09,-2.1337625693721802e-09
ANOC,38.5944987007,21.92510634979999,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,2.644499039331365,-1.9965458580015645,-1.720307012580072,0.21845729191111163,-0.002069659036812721,0.0016316136344045468,0.00021845729191111163,2.6516951192237574e-08,-4.745159721963717e-09,-2.3026119741459772e-08,-4.01541485217173e-09,-2.0477307324642695e-09,-3.3946421311762437e-09
ARG2,38.175273488,20.484779164899976,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,2.1119153486465954,-1.3993314712458809,-0.39268416487609176,-1.5322718492765812,-0.0006524744829790249,0.0012986941398284851,-0.0015322718492765813,1.1622751789445931e-08,1.2303026274332923e-07,-1.1683667563716729e-08,-2.5770547449359446e-09,3.305956267979019e-08,-6.250919104867991e-10
ARKI,38.7550567243,23.03360943040002,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,1.419547237504357,-1.1726810394130138,-0.7639307838158345,0.23736743004462713,-0.0009736533146936233,0.0010053707204043597,0.00023736743004462713,5.775736334111703e-09,-5.4563292504093776e-09,-8.207414299459957e-09,2.679436741606595e-09,-1.4485624170198116e-09,1.8982163506953282e-10
ARSA,38.3010818222,21.81672309459998,2018-10-25T22:54:58.900000Z,6.84,37.27,20.6,16.0,11.0,28.0,165.0,4.270729565979377,-3.3021060877578954,-2.6947282596725604,0.2714148438179853,-0.0032752900569310572,0.0027272587063302614,0.0002714148438179853,4.45019803694467e-08,-2.0403467925986715e-08,-4.5068936504081136e-08,-7.550184120091025e-10,-1.359311477856227e-09,-4.975900633420806e-09
