Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
AKYR,34.9808312442,24.912607082500017,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,2.849983475953837,1.1229195531485252,-2.619252051968771,-0.03124385738051405,-0.000553807943926593,0.0027954832132977836,-3.124385738051405e-05,-4.464636938391337e-09,-1.3072226267188674e-08,-4.4413707911266644e-08,3.464620485769741e-08,-2.835836588415551e-09,-5.069111932291349e-09
ARK1,35.1339802842,25.2689476187,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,3.507135635423553,0.7191971579132358,-3.431148097250073,0.09989268263739873,9.894827877998669e-06,0.0035056987762205893,9.989268263739873e-05,-1.964285459386025e-08,-1.6505673218190215e-09,-1.7626499550308133e-08,5.888665860914381e-08,-2.0046452268336826e-09,-2.730162251545787e-09
HERA,35.3241276658,25.141503162899998,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,2.3826710505146598,0.5377090682140271,-2.318115100799507,0.11971913951547286,-4.3995604848953707e-05,0.002379254725612262,0.00011971913951547286,-1.0575075410299637e-08,-2.058509507973412e-09,-1.2574196276752015e-08,3.2992114244649524e-08,-1.7230067526643087e-09,-5.447548367442236e-10
IDI0,35.288808933,24.890399762000012,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,1.989881011792146,0.6369777604553772,-1.8837143816873814,0.07420176547975887,-0.00023141202599586547,0.0019749858261048636,7.420176547975887e-05,-5.7723512455610815e-09,-5.24235699807069e-09,-1.8703130437534287e-08,2.3323097174533823e-08,-2.190798682463159e-09,-1.0972897356648594e-09
IERA,35.0530693748,25.797232298600026,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,4.6225514465989015,-0.38528932732055754,-4.606093119051167,0.058653127247991314,0.0013345304395529223,0.004425332777659136,5.8653127247991314e-05,-1.557394697246399e-08,3.3260815820723746e-08,4.5874023255717085e-08,7.374081832128481e-08,1.145067039378012e-10,-6.3275862854937346e-09
MOI2,35.0502098957,24.8720833141,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,2.4977564921570155,0.9650612300466755,-2.3037889979927253,-0.0007543878261934145,-0.00046498766087135074,0.0024540931930651932,-7.543878261934145e-07,-4.092375506182619e-09,-1.0437197273159307e-08,-3.5688077671462694e-08,2.8955202378817356e-08,-2.7823764409245016e-09,-3.6757350919458806e-09
MOIR,35.053947751,24.877751640099973,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,2.5090897929506957,0.9622290839894677,-2.3172489919253834,0.001971911495979306,-0.0004594189139036295,0.002466670217560918,1.971911495979306e-06,-4.3576174801914535e-09,-1.0388408666730412e-08,-3.544980237472858e-08,2.9368624280993587e-08,-2.784043588692376e-09,-3.626804956389917e-09
NEA1,35.2613556909,25.61037009860001,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,3.1983091421975054,0.08097751304848377,-3.1939060179942156,0.14692977800621726,0.0005848424404124308,0.0031409476801264324,0.00014692977800621725,-1.469212953597332e-08,1.2358029500581209e-08,1.2314034751439513e-08,4.860708198623914e-08,1.9501231524186658e-11,-1.1853890058263975e-09
RETH,35.3877574853,24.6130793154,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,1.3549006319288794,0.505237553662504,-1.2563686701098138,0.045038889161519435,-0.00023298316642260397,0.0013339587943516362,4.5038889161519435e-05,-1.721054927852864e-09,-3.9531459969972774e-09,-1.4222200759270557e-08,1.1810071155432548e-08,-1.8325146938452631e-09,-9.063715976135518e-10
SIT1,35.2047582681,26.106062539999986,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,2.8457955394806866,-0.6084036533182072,-2.7790607483179213,0.0722399080555023,0.0011729077928389342,0.002591837370999578,7.22399080555023e-05,3.125819774189043e-09,2.0663547077859775e-08,3.659624535540214e-08,2.628605707424868e-08,1.6339278860269823e-09,-3.011881311229914e-09
SIVA,35.017692185,24.8120244813,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,2.3485592448987846,0.9720320790376836,-2.137795851623511,-0.026703200230210333,-0.0005063180958127661,0.002293176716206047,-2.6703200230210333e-05,-1.3864496165350304e-09,-1.0445996678434757e-08,-3.6981945310635006e-08,2.4246667449301852e-08,-2.7140683954974597e-09,-4.059418003149167e-09
ZKRO,35.1148955564,26.21696793609999,2020-05-02T12:51:09.900000Z,6.6,34.05,25.64,12.0,258.0,23.0,72.0,2.8974351461264116,-0.8145994271424207,-2.7805263852204476,0.015205933076568173,0.0013749024173330682,0.002550400468244063,1.5205933076568173e-05,1.050087560821613e-08,2.1963384718699713e-08,4.414989147598843e-08,2.017897309581366e-08,1.4443950515238228e-09,-4.569213877161523e-09
