Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
ANIK,36.8260211464,22.28206732130002,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,4.235111486330045,-2.8358271308876035,-3.073855148441879,-0.6675839361187652,-0.0009189707618688647,-0.004079950211548056,-0.0006675839361187652,-3.68056756236784e-08,3.570879614477582e-08,3.9740595895929616e-08,1.1829959283353162e-07,8.762025691062862e-09,3.1440877201574784e-08
JPA1,37.0407410126,22.092233399500003,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,2.9841336254739423,-1.3296569896743518,-2.635956124452109,-0.43451247905879065,0.00016646133084852188,-0.0029476334618738775,-0.00043451247905879065,-2.733246387336279e-08,-8.291368074052771e-09,-2.0480589453983668e-08,7.957105524447248e-08,-1.0827591890313996e-09,1.877746833082112e-08
KALM,37.033726265,22.111371255200027,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,3.0018005481891907,-1.3858097659601119,-2.6273842636021234,-0.4326543135742822,0.00011354566966703672,-0.002968286400762965,-0.0004326543135742822,-2.7994168535691462e-08,-6.286499586374742e-09,-1.7624905886571466e-08,8.052765799148255e-08,-6.650210164484366e-10,1.8798016094783184e-08
KERY,36.4932710153,22.383513569599984,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,5.391185262280653,-4.8627503328405375,-2.0478030072453763,-1.1068155113695133,-0.0031873638168784524,-0.004204824592640932,-0.0011068155113695133,5.986330941082977e-08,9.805682684066405e-08,1.6705136847667503e-07,5.636476393792485e-08,4.6314196417075976e-08,4.0364294305808154e-08
KOPA,37.2895154126,21.81823142090002,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,1.5024677367161596,-0.2979352457370142,-1.45714139345954,-0.21303250617545066,0.00047055120523875615,-0.0014108890865103252,-0.00021303250617545066,-2.7412827639579957e-09,-1.3999829613013819e-08,-2.5872922040700215e-08,2.4806496427664887e-08,-2.351829624084699e-09,6.78033077554664e-09
KOR1,36.7975013801,21.95629645909997,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,7.937481988112794,-3.4336347635168116,-6.910938531158817,-1.8581445694370173,0.00048185433305647507,-0.007701865713734657,-0.0018581445694370174,-1.0597128731859318e-07,-3.0602777789418386e-08,-6.834572079501082e-08,2.894121363438329e-07,-1.0856818388814411e-08,1.0435559093224362e-07
MET4,36.8255146835,21.70457026790001,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,7.398599070435387,-0.8698887100477009,-7.065596199069862,-2.014922377876732,0.0027794523781683456,-0.006553930156301124,-0.0020149223778767322,-1.0833161955554362e-08,-1.3332855815482285e-07,-2.2855957542468286e-07,1.857322192792986e-07,-6.061640373501951e-08,9.743209397091942e-08
MOL1,36.8055826723,22.850798760899977,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,1.421389221264385,-1.216552001077067,-0.7275150281978648,-0.10521611448927048,-0.0006898074238586016,-0.0012383224965928363,-0.00010521611448927048,2.733262009531026e-09,1.531750233743868e-08,2.2324384192202283e-08,1.66318633095809e-08,2.4474367017302573e-09,3.6950584657483515e-09
PTKG,36.4212589745,22.48954017379998,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,3.666978527666211,-3.467947524754698,-0.9688251562641204,-0.6938654801203342,-0.0025189180772968722,-0.002573000959527505,-0.0006938654801203342,6.840509010080115e-08,4.9242133640830444e-08,1.0903721850942462e-07,4.747180460826873e-09,3.071130455175674e-08,1.8157984997326388e-08
PYL1,36.9141727594,21.69530667409998,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,4.947649371492857,-0.5051601252768442,-4.776026554608768,-1.1889566437578158,0.0019505317758357066,-0.004388740388078682,-0.0011889566437578158,9.64470290676871e-10,-8.136266529952548e-08,-1.4165600113466014e-07,1.0570819978025508e-07,-3.198993997514488e-08,5.041178001362763e-08
PYLO,36.8955119677,21.741968322200023,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,5.5287509113339,-0.8725298395094313,-5.296933852596816,-1.322221645547725,0.0018928339197232802,-0.005023544198269336,-0.0013222216455477248,-1.5971825468345434e-08,-8.528476712567392e-08,-1.4623236691698925e-07,1.3729281817094812e-07,-3.2122866854949125e-08,6.024967901892338e-08
SPR2,37.0460153941,22.37209692469997,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,2.2064136457040964,-1.3459288893277614,-1.7327374296572973,-0.23314716529866664,-0.00029923989501656756,-0.002173559076835252,-0.00023314716529866664,-1.7450036382899092e-08,8.784394279763403e-09,6.77971318430397e-09,5.1801854170900275e-08,1.8807017104819348e-09,9.669226585809607e-09
VASS,37.430444814,21.899260635400022,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,1.0768282448608166,-0.26107661438992236,-1.037355963082278,-0.123655473822884,0.0002925790011454321,-0.0010289149239914863,-0.000123655473822884,-2.6839101317754738e-09,-7.967297965791585e-09,-1.525263651180358e-08,1.6590526562521006e-08,-8.187863910857726e-10,3.7212466039797313e-09
VLY1,37.1641089089,21.9835142279,2008-02-14T12:09:02.700000Z,6.54,36.29,21.67,15.0,120.0,86.0,87.0,2.1769191935473033,-0.7235805327715683,-2.0307670413899634,-0.3023137632211098,0.0003887443976309246,-0.002120486113397657,-0.0003023137632211098,-1.362176527746627e-08,-1.444193869177843e-08,-2.7409914068526247e-08,4.8682097983021195e-08,-2.216039096341429e-09,1.1549037747668248e-08
