Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
AKYR,34.9808312442,24.912607082500017,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.7084899249996008,-0.5356816124020394,-1.6070091058595568,-0.22249666883789737,0.0003647689001873844,0.0016541997175786444,-0.00022249666883789737,1.0523100291761901e-09,-2.6225778094192355e-09,-7.104953788748264e-09,-7.3297795730540185e-09,1.6172367634117798e-09,5.576920843673831e-10
ALE3,40.8491656686,25.853456076600025,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.9053531509936341,-0.15354355434560357,1.8847094356455105,-0.23380622341817592,0.0003497082077034419,-0.0018583351283762428,-0.00023380622341817592,1.9848698353826465e-09,2.7985306566472375e-09,6.6210031700210865e-09,-9.347065688404662e-09,1.2897530520833521e-09,-7.080912221003979e-10
ANDR,37.8863734555,24.73709084040001,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.4867180124144554,0.29363623888837154,-0.05367611026989706,1.4564432988741354,-0.0002976383501687718,2.2688722110919546e-05,0.0014564432988741355,5.66101247653047e-09,-8.799804269764168e-10,-2.4725846055686543e-11,1.6466163609601293e-08,-1.586727354874283e-08,-4.771135791115799e-10
ANOP,35.2179647681,24.095992169999988,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,1.2532083547825925,-0.5259555866011045,-1.1334767311780531,-0.09556359818411325,0.0004045937660063781,0.001182244756261483,-9.556359818411325e-05,-1.080691601866251e-09,-1.9073822975879475e-09,-7.259827875465707e-09,-2.8534729889727306e-09,1.5400827235222701e-09,-5.229768298370857e-10
ARK1,35.1339802842,25.2689476187,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,2.1197375578921234,-0.5857266257176219,-2.0162498657684633,-0.29145859577745653,0.00037176245394396346,0.0020664297421212896,-0.00029145859577745653,2.2828716546625203e-09,-3.102279025493008e-09,-7.962636703739331e-09,-1.091639146375863e-08,1.8023540135572484e-09,1.0821799261346445e-09
AST5,36.5486046241,26.350941286900024,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,11.399900580242122,-1.6966120917838703,-11.195342569686925,-1.320433791135764,0.0005170859186613141,0.011311357566417643,-0.0013204337911357639,4.754704824151502e-08,-1.0458964745566159e-08,-2.5761245153925425e-08,-1.5343420757425944e-07,4.880124301243945e-09,1.3024318831513267e-08
ASTY,36.5451323953,26.35332162269998,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,11.35021889248611,-1.6759454280153907,-11.14828936342481,-1.3169358750570042,0.000501450868381742,0.011262401867938102,-0.0013169358750570043,4.73021585184325e-08,-1.0124418207884252e-08,-2.4921511396984135e-08,-1.5249481979532095e-07,4.724497938123338e-09,1.2990006421708936e-08
AYD1,37.8407265492,27.83788451110001,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,3.3069237784158516,-0.3208579459527461,1.4796281482895535,2.9399822444294426,0.00047376350910116605,-0.0014379838024595193,0.0029399822444294427,9.39083067115185e-09,6.75139403509969e-08,-4.186447098188244e-08,6.512035996402574e-08,3.8741417198425256e-08,2.4498492829009036e-08
AYVL,39.3114429293,26.6861782332,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,8.731328530288776,0.469169220837414,8.69469008944874,-0.6467939351102736,0.00044224353088288815,-0.008696101205064921,-0.0006467939351102736,3.31590660062303e-08,7.926177506804609e-09,1.6745616849572213e-08,-1.0235338836304602e-07,1.753437142157645e-09,-9.345489775157155e-10
BAL1,39.6294995568,27.892661172399983,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,276.0,34.0,-90.0,4.049882373915196,1.3759579463772016,3.793928089044395,-0.33822570498169685,-0.0009718468318822976,-0.003916971323663088,-0.0003382257049816969,3.4046339398302127e-09,-1.0789534849067656e-08,-2.6550950184802672e-08,-2.620857523774313e-08,-3.9676871842274184e-09,-1.1290850163639622e-11
