Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
ANKY,35.8669629685,23.301054802299973,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,15.116354310476499,0.21721757319530677,-14.133938816140276,-5.356188729624803,0.007042252280291539,-0.0122565122589271,-0.005356188729624803,5.8091916087980917e-08,-3.0225358000742743e-07,-5.213169344743665e-07,2.83930776721113e-07,-2.0315328130258193e-07,2.3514463038801794e-07
ANOP,35.2179647681,24.095992169999988,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,3.580187895738898,-3.3728178242821154,0.42055449536285994,-1.1247129453466203,-0.003153821802897916,-0.001267349278979868,-0.0011247129453466204,1.609017589058687e-07,-1.3088107219744257e-07,7.306829680615007e-08,-9.221669076080396e-08,6.874606577249902e-08,-3.2498564552189234e-08
GVDS,34.8314719014,24.08120616039997,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,1.6031676347003077,1.1194476698210876,-1.133892742203494,0.176835032335107,0.001528813102884552,-0.00044900593842189807,0.000176835032335107,-6.112223266003126e-08,-4.753388350250987e-08,2.0370383235206216e-08,2.580855942393507e-08,-1.5706376735115605e-08,-1.1532145578774698e-08
KAPS,36.1428491112,22.99968458759997,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,3.033491578502131,0.8613308520791965,-2.782526887124859,-0.8471861911806128,0.0021023327410678583,-0.00201607136782167,-0.0008471861911806128,5.485913816157164e-08,-3.439727957449138e-08,-8.274773611504932e-08,-2.281300084317202e-09,-2.8331315972553537e-08,1.4983367329248672e-08
KISM,35.4954141296,23.6541720404,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,63.7992793391879,-43.78463100193764,-33.87010893399345,-31.718604209884553,-0.02187434649412978,-0.050850675085304164,-0.03171860420988455,-6.112196751749738e-07,1.2812680010228385e-06,2.0981472613915178e-06,1.9429621290197774e-06,1.2626755317488683e-06,2.079812374990369e-06
KITH,36.2745242158,23.01516387919997,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,2.233911944956241,0.502671327070623,-2.1042284557176916,-0.5566926628824687,0.0014597964473979097,-0.0015966997805083594,-0.0005566926628824687,3.030165320263777e-08,-2.5432487621718218e-08,-5.4673506385194015e-08,4.681932311329587e-09,-1.4953151861092166e-08,1.0306741663832348e-08
NEAB,36.5092093893,23.06030912630001,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,1.379491903636753,0.18297310664372532,-1.3368807132722593,-0.286825230628604,0.0008081645158632966,-0.001080555095575253,-0.000286825230628604,1.1293800029235353e-08,-1.419117975839877e-08,-2.7874855037080912e-08,6.857417156175191e-09,-5.300045110492992e-09,5.299714072746468e-09
PA01,35.2393827075,23.6406990589,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,6.939584285845298,4.6877476919753756,-3.9820445211719604,3.2134363332941422,0.006030530005612267,-0.001210109434566231,0.0032134363332941424,-7.280592355881805e-07,-4.32780220400206e-06,1.145601023492602e-07,4.170177142333781e-07,-5.834169420839302e-07,-3.1471525656568066e-06
RETH,35.3877574853,24.6130793154,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,1.8017255485855468,-1.7688085102556226,-0.20415409040484248,-0.27541335088217267,-0.0014480589141845357,-0.0010360925729067105,-0.00027541335088217267,3.6864503098889565e-08,5.006979524846247e-09,3.40404816845048e-08,-1.0807748923235008e-08,9.546126545791402e-09,2.9060030539402995e-09
SFAK,35.2007208585,24.13770803440002,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,2.9027726726598972,-2.7427807233373707,0.35934853368340314,-0.8798361916684261,-0.0025731056991440404,-0.0010154331716090148,-0.0008798361916684261,1.2554987832649276e-07,-1.108155240650238e-07,5.433570202808189e-08,-7.19326320807611e-08,5.0351328998329784e-08,-2.5248374535650847e-08
TUC2,35.5331895144,24.070559825299995,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,10.041973610074663,-9.078258786121468,-3.3613070823523885,-2.6698438335925196,-0.0063104300307266215,-0.0073410926105701435,-0.0026698438335925195,1.4031987388798682e-07,1.785311678959859e-07,3.2007212398965477e-07,7.32681893901021e-08,1.1957662968938372e-07,8.538269400228558e-08
VAM0,35.4057111464,24.198751889499988,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,5.599189803772546,-5.37658890251688,-0.7662478356208527,-1.3623811824923089,-0.004330986289126315,-0.003276797481636784,-0.0013623811824923088,1.4871281422287168e-07,3.966737737713385e-08,1.5864514010164693e-07,-3.872418781715313e-08,6.805011204297116e-08,1.8718649944083144e-08
XRSO,35.3105432001,23.5326980959,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,119.0,88.0,88.0,300.38648673594446,-42.50998915578,-6.874343695574346,-297.28384691115383,-0.03384732630943299,-0.026621688169088387,-0.29728384691115384,-3.602419029765178e-06,-1.1700591455480319e-05,8.238447905121773e-06,-2.031391487285544e-05,5.160651330482883e-05,0.00015079917767413212
