Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
ANKY,35.8669629685,23.301054802299973,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,18.754783571657402,1.2125486393144111,-17.85779842510829,-5.600952421259001,-0.0171062296396087,0.005267650929159609,-0.005600952421259001,8.310686222616222e-07,-1.1387759195569103e-08,-3.3935802145770046e-07,-2.922191148290871e-07,3.8818920341577793e-07,-1.6112596448367703e-08
ANOP,35.2179647681,24.095992169999988,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,3.6717649163070765,-3.5334861529119954,0.27000407693124145,-0.9609531758848627,0.0015183587086632366,0.003202032702238816,-0.0009609531758848627,9.189484523574998e-08,5.419656699789413e-09,2.3749557207208206e-07,-9.400227851599984e-09,-6.491458473151059e-08,-1.6724891313299343e-08
GVDS,34.8314719014,24.08120616039997,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,1.6664035778597586,1.1336285088841442,-1.2180149349177964,0.09070229581500076,-0.0015433710266954254,-0.0006218358720714023,9.070229581500076e-05,-1.5791328102175637e-08,-8.181017656877031e-08,-9.301567932882625e-09,-2.411219093047223e-08,3.780590352297223e-09,1.4375888382390734e-08
KAPS,36.1428491112,22.99968458759997,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,3.271136556536928,0.9886675146256868,-3.03893033819257,-0.6984077008803171,-0.0031913926312235608,0.00016605459414090196,-0.0006984077008803172,1.009506782753874e-07,5.1607981572653676e-08,-4.5440429119842254e-09,-3.733836698461003e-08,2.6322042438040567e-08,6.393207686477402e-09
KISM,35.4954141296,23.6541720404,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,85.39660668139724,-58.2290579033504,-40.11967640145207,-47.878688514080025,-0.016587516521019058,0.06873911488034948,-0.047878688514080024,-1.6089173591009396e-06,-1.4622797309354468e-06,7.531968898883464e-07,2.365393875624192e-06,-5.531510623623406e-07,-3.7480114895786345e-06
KITH,36.2745242158,23.01516387919997,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,2.40865497668455,0.5799538111287486,-2.2924635952232806,-0.4581299359793477,-0.0023480359990830507,0.0002801119516851608,-0.0004581299359793477,6.674296155627902e-08,2.5010381276368576e-08,-8.404382627754166e-09,-2.5549369951113488e-08,1.504158153375873e-08,1.5940983751511032e-09
MIL7,36.7422182135,24.43127598839999,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,1.0070077028067816,-0.560156815564169,-0.8361622534400722,-0.03348942237813533,-0.0005798824637698874,0.000822605191032208,-3.3489422378135333e-05,2.549671595234461e-09,-9.125030288847579e-09,-1.0311698543695635e-08,7.492894240831358e-09,5.065484325981564e-10,-1.1717461132798973e-09
NEAB,36.5092093893,23.06030912630001,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,1.4867807329624456,0.21375162457311495,-1.4524531565172158,-0.23496173948938173,-0.0014325835687387933,0.0003209583266782362,-0.00023496173948938173,3.3685554760555567e-08,6.7874412134260494e-09,-8.531658284247287e-09,-1.2971994581871262e-08,6.1049621598638255e-09,-6.565873369852235e-10
PA01,35.2393827075,23.6406990589,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,19.037898825673807,-2.5685077520131716,-13.802903843353173,-12.857846052725417,-0.011965650000497347,0.007344426910699253,-0.012857846052725417,7.427578699939435e-07,-2.6780403101867893e-06,1.8110411427838139e-06,-5.321737939619379e-07,-1.294683655398946e-06,2.8086836587793975e-06
RETH,35.3877574853,24.6130793154,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,1.8689323079157003,-1.8429155870161846,-0.21033533660935272,-0.22875567069982616,0.00046407692684487245,0.0017958873630225247,-0.00022875567069982616,-9.595569040966114e-10,1.2909344999134326e-08,4.486006613472723e-08,2.9471155020493306e-08,-4.3289703023886535e-09,-7.10214549415418e-09
SFAK,35.2007208585,24.13770803440002,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,2.960282629452419,-2.8540914843698233,0.24065399216246802,-0.7480111637814326,0.0012474847697096086,0.002578281267518856,-0.0007480111637814327,7.660007401609287e-08,6.63593003070618e-10,1.8592337560844126e-07,-1.3632339462267236e-08,-4.710848755898263e-08,-1.1188563313284676e-08
TUC2,35.5331895144,24.070559825299995,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,11.434667774568979,-10.534692996364683,-3.6247831811871385,-2.5754256884045477,0.0003912696999438803,0.01113398929675155,-0.002575425688404548,-1.3963668027370003e-07,2.1366583261575518e-08,2.1172912868913565e-07,4.251733014736456e-07,-4.7641883546305516e-08,-1.5175063482409206e-07
VAM0,35.4057111464,24.198751889499988,2013-10-12T13:11:56.400000Z,6.76,35.37,23.37,15.0,339.0,3.0,130.0,5.993122843749442,-5.819451312631442,-0.7879451070269595,-1.196097967766799,0.001349894705311827,0.005715300110785665,-0.0011960979677667991,-1.7992120913103084e-08,5.474686316912896e-08,1.9633291277365818e-07,1.517773465395809e-07,-3.902646197249348e-08,-5.36858607110414e-08
