Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
ABEL,38.9231888039,21.214994834200013,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,7.201463145034929,-6.140985443225937,-3.7571455844713038,0.18228075178498837,-0.005784018362282262,0.004286371045722326,0.00018228075178498837,1.574404273500122e-07,-3.2130059947712725e-08,-1.3348364057989127e-07,-2.216416821551643e-08,1.5243044267350015e-08,-1.7399812311050288e-08
AGNA,39.4836522542,21.84699739870001,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,1.4831004996848567,-1.2678834389495883,-0.7236310091413818,0.2615661293284416,-0.0011458964842531172,0.0009044841068421017,0.0002615661293284416,1.7987453107437437e-08,2.901358637307863e-09,-1.3637869100732395e-08,-3.2649877892117012e-09,-3.0602908733354862e-09,-2.3738398516312677e-09
AGRI,38.623994895,21.409030168699985,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,7.255693115624019,-6.899711327170302,-2.2226141760489266,0.3147259351530471,-0.004645449334788276,0.005564695018756283,0.0003147259351530471,-2.890933264324722e-10,-1.3629205073384958e-07,-5.284133237139499e-08,1.316441331621655e-07,1.1936193801042281e-08,-1.3754979536409326e-08
AIGI,38.2419602042,22.072721371400007,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,1.2283061782977445,-1.1184628445942355,-0.4750750991458163,0.17911053313017164,-0.0008594655177104338,0.0008590544269328759,0.00017911053313017164,-6.2172200646776485e-09,-1.309490566686784e-08,2.370834581747123e-08,1.8071263200077756e-08,5.478042594086302e-09,2.408508533019835e-09
AMFI,38.8924578869,21.14973226500001,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,8.483768468765023,-7.187385912225518,-4.507293152146072,-0.010937137234989791,-0.0068715315906136,0.0049755664411039735,-1.0937137234989791e-05,2.044865350707212e-07,-3.5395671616749444e-08,-1.693690677048061e-07,-3.499343639738561e-08,2.8569649291490554e-08,-2.3537101640413107e-08
ANOC,38.5944987007,21.92510634979999,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,2.753958330942497,-2.6068716352750707,-0.7875975206635145,0.4101181673744139,-0.0017067990078190043,0.0021220100669565867,0.0004101181673744139,-4.481415886298214e-09,-3.361285001640529e-08,-2.3851330864256673e-09,3.921326582559513e-08,2.569990578419549e-09,3.948974991822115e-09
ARG2,38.175273488,20.484779164899976,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,30.414779739760725,3.039719317426793,-28.87396316272146,9.061632544261872,-0.02563277356338972,-0.013634755652336517,0.009061632544261872,-1.4973537322808983e-06,4.6379143832576143e-07,-9.186024379828496e-07,7.44320639400038e-07,9.048634436675881e-07,-3.200083767675374e-08
ARSA,38.3010818222,21.81672309459998,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,1.8498161198348373,-1.7200843522839415,-0.643421286447364,0.22167215967542134,-0.0012409247680756907,0.0013538045836833101,0.00022167215967542134,-1.2022356538042231e-08,-2.3061876599162948e-08,3.9693454742213615e-08,3.374816777451198e-08,7.51279945637416e-09,2.5922550402986376e-09
ART1,39.1588039978,20.991739572200004,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,2.719682065724418,-2.4307321542739224,-1.2179605980456814,-0.06916440132107016,-0.0020398416938255393,0.0017974795376704267,-6.916440132107016e-05,6.84296901081188e-08,1.0656822161373168e-07,-3.911102148109887e-08,-2.5861332047556214e-08,7.2906196740737725e-09,-1.4692689314765167e-08
ASSO,38.3778173592,20.541719498600003,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,78.67554800088239,16.527887850857756,-61.931922652881525,45.61915971328403,-0.05123082300186077,-0.03852449733409957,0.04561915971328403,1.098250686152647e-06,-1.8333633129284735e-06,2.512194766233048e-06,8.71069976633962e-07,-2.6969422901692485e-06,2.53303605980075e-06
ATER,38.3172503054,20.41656152550001,2015-11-17T07:10:12.900000Z,6.5,38.47,20.53,15.0,22.0,64.0,179.0,35.18779287797641,-1.2596792840490323,-28.673166710187306,20.35788511939568,-0.027057181398381758,-0.009573203009647285,0.02035788511939568,-2.3240229250919096e-06,5.670371416951443e-06,-4.6010595793186283e-07,1.6534142516871079e-06,2.6682721834734007e-06,-3.145415165560201e-06
