Station_ID,Station Latitude (°N),Station Longitude (°E),Event Date,Event Mag,Event Latitude (°N),Event Longitude (°E),Event Depth (km),Strike (°),Dip (°),Rake (°),Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
AKYR,34.9808312442,24.912607082500017,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,1.7127193361663973,-0.5484127421080405,-1.60714181166978,-0.22303853020180786,-0.00034846363934324526,-0.0016619971211104256,-0.00022303853020180786,1.2305880452205287e-09,-2.523350280606062e-09,-6.775687562460043e-09,-7.467583405422252e-09,-1.4859043252135488e-09,-5.912444399114781e-10
ALE3,40.8491656686,25.853456076600025,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,1.8717761712537113,-0.13215860265371185,1.8518747837551701,-0.23799143747110785,-0.00035686027643502816,0.0018219651078070498,-0.00023799143747110785,1.7765585421780154e-09,2.780037929708926e-09,6.763541560157972e-09,-8.938112836062593e-09,-1.430573248611814e-09,7.414957604809655e-10
ANDR,37.8863734555,24.73709084040001,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,1.4922130508769587,0.261470560563039,-0.1890006366116371,1.4569185613913933,0.00028255498214135866,-0.00015572660899104696,0.0014569185613913932,5.354017654182145e-09,-1.1886728724695845e-09,-2.9329655103440766e-09,1.675957720861384e-08,1.5798830353336793e-08,3.3992779139685233e-09
ANOP,35.2179647681,24.095992169999988,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,1.2696619782173333,-0.541802720657182,-1.1435463130574581,-0.103890233958355,-0.0003984009670113947,-0.0012010516340704158,-0.000103890233958355,-9.183667931115838e-10,-1.934090768800592e-09,-7.155835204772715e-09,-3.0701554860463716e-09,-1.4987573093736995e-09,4.216180904987928e-10
ARK1,35.1339802842,25.2689476187,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,2.1146717957379924,-0.5981847861143822,-2.0078819332365985,-0.2870921586060754,-0.0003490267545896153,-0.002065815872902832,-0.0002870921586060754,2.472524607776519e-09,-2.915457749317081e-09,-7.450843134214115e-09,-1.0968800344438887e-08,-1.605294853947596e-09,-1.0646239675724579e-09
AST5,36.5486046241,26.350941286900024,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,10.557199090563728,-1.6368327908830291,-10.376769444044372,-1.0478010105152284,-0.0003600220086589917,-0.010498902315644432,-0.0010478010105152286,4.346275982518688e-08,-6.651361530660034e-09,-1.7409342661624784e-08,-1.2981722378528432e-07,-2.50382205143054e-09,-7.225913878774094e-09
ASTY,36.5451323953,26.35332162269998,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,10.514926734978912,-1.61833979150996,-10.336868616228989,-1.0458526531065409,-0.0003465295409861291,-0.010457045172857782,-0.001045852653106541,4.3245080732782854e-08,-6.394013243409041e-09,-1.6717967286557656e-08,-1.291277425882617e-07,-2.4085564949111695e-09,-7.222927642412112e-09
AYD1,37.8407265492,27.83788451110001,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,3.611525058521422,0.1992196780405253,1.2529914270514113,3.3813366073115607,4.5033482263312496e-05,0.0012679305903156302,0.003381336607311561,-1.0908615576564916e-08,7.594388330517245e-08,-3.6151949864490394e-08,8.461413030377758e-08,-5.865102467538847e-08,-1.6815875229788266e-08
AYVL,39.3114429293,26.6861782332,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,8.470139463437338,0.5314835639152955,8.407176328601917,-0.8832745502741907,-0.0004970550930332718,0.008409282064088835,-0.0008832745502741907,2.995897938507278e-08,8.525162806603347e-09,1.8989988975378075e-08,-9.656072556689044e-08,-3.2638793725546766e-09,6.475454501924566e-09
BAL1,39.6294995568,27.892661172399983,2020-10-30T11:51:34.800000Z,6.99,37.78,26.63,12.0,97.0,56.0,-90.0,4.045928221178365,1.3703945245568323,3.7854196309373793,-0.4026813078677749,0.0008988532066439292,0.00392421276794816,-0.0004026813078677749,4.192169687721786e-09,-9.939709768013136e-09,-2.4834619088829845e-08,-2.6841466405796708e-08,4.580717923125807e-09,8.904984299364142e-10
