Station_ID,Station Longitude (°E),Station Latitude (°N),Event Date,Event Mag,Event Longitude (°E),Event Latitude (°N),Event Depth (km),Distance (km),dE1 [mm],dN1 [mm],dH1 [mm],dE2 [mm],dN2 [mm],dH2 [mm]
GUAT,-90.52,14.59,2025-02-08 23:23:14,7.6,-82.46,17.7,18.8,928,0.4,0.9,0.2,0.4,0.9,0.2
MANA,-86.249,12.149,2025-02-08 23:23:14,7.6,-82.46,17.7,18.8,737,1.8,2.7,1.1,1.8,2.7,1.1
SCUB,-75.762,20.012,2025-02-08 23:23:14,7.6,-82.46,17.7,18.8,751,-0.6,-1.4,0.3,-0.6,-1.4,0.3
SSIA,-89.116,13.697,2025-02-08 23:23:14,7.6,-82.46,17.7,18.8,840,1.0,1.4,0.5,1.0,1.4,0.5
