Station_ID,Station Longitude (°E),Station Latitude (°N),Event Date,Event Mag,Event Longitude (°E),Event Latitude (°N),Event Depth (km),Distance (km),dE1 [mm],dN1 [mm],dH1 [mm],dE2 [mm],dN2 [mm],dH2 [mm]
BNEU,101.917,21.644,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,621,1.7,-2.6,-0.7,1.8,-2.6,-0.7
CMUM,98.932,18.761,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,478,8.7,-7.7,-3.6,8.6,-7.6,-3.6
CUSV,100.534,13.736,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,1038,1.4,-1.2,-0.7,1.4,-1.2,-0.6
CUUT,100.534,13.736,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,1038,1.4,-1.2,-0.7,1.4,-1.2,-0.6
LHAZ,91.104,29.657,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,975,-1.5,1.3,-0.7,-1.5,1.2,-0.7
NKAY,105.153,17.719,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,1077,1.6,-1.2,-0.7,1.6,-1.2,-0.7
PBR4,92.712,11.637,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,1198,0.9,1.2,0.5,0.9,1.2,0.5
SHLG,91.913,25.674,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,576,-5.6,4.8,-2.7,-5.6,4.7,-2.7
TOAY,106.627,16.073,2025-03-28 06:20:54,7.7,95.92,22.01,20.1,1304,1.1,-0.9,-0.5,1.2,-0.9,-0.5
