Station_ID,Station Longitude (°E),Station Latitude (°N),Event Date,Event Mag,Event Longitude (°E),Event Latitude (°N),Event Depth (km),Distance (km),dE1 [mm],dN1 [mm],dH1 [mm],dE2 [mm],dN2 [mm],dH2 [mm]
PGEN,125.132,6.065,2025-10-10 01:44:00,7.4,126.75,7.26,44.4,222,7.4,1.4,-1.6,7.6,1.5,-1.7
PPPC,118.74,9.773,2025-10-10 01:44:00,7.4,126.75,7.26,44.4,925,1.2,-0.3,0.2,1.2,-0.3,0.2
