Station_ID,Station Longitude (°E),Station Latitude (°N),Event Date,Event Mag,Event Longitude (°E),Event Latitude (°N),Event Depth (km),Distance (km),dE1 [mm],dN1 [mm],dH1 [mm],dE2 [mm],dN2 [mm],dH2 [mm]
FALK,-57.874,-51.694,2025-05-02 12:58:26,7.5,-68.21,-56.78,18.8,879,-1.4,-1.1,0.3,-1.4,-1.1,0.3
PARC,-70.88,-53.137,2025-05-02 12:58:26,7.5,-68.21,-56.78,18.8,440,-0.5,-0.8,-1.1,-0.5,-0.8,-1.1
RGDG,-67.752,-53.786,2025-05-02 12:58:26,7.5,-68.21,-56.78,18.8,335,-2.9,-6.4,-0.3,-2.9,-6.4,-0.3
RIO2,-67.751,-53.785,2025-05-02 12:58:26,7.5,-68.21,-56.78,18.8,335,-2.9,-6.4,-0.3,-2.9,-6.4,-0.3
