Station_ID,Station Longitude (°E),Station Latitude (°N),Event Date,Event Mag,Event Longitude (°E),Event Latitude (°N),Event Depth (km),Distance (km),dE1 [mm],dN1 [mm],dH1 [mm],dE2 [mm],dN2 [mm],dH2 [mm]
BTNG,125.19,1.439,2026-06-07 23:37:42,7.8,125.05,5.59,44.0,459,1.0,-0.7,-3.0,1.0,-0.7,-3.0
PGEN,125.132,6.065,2026-06-07 23:37:42,7.8,125.05,5.59,44.0,53,18.6,298.5,197.5,16.8,291.7,192.3
PPPC,118.74,9.773,2026-06-07 23:37:42,7.8,125.05,5.59,44.0,836,3.0,-0.8,-0.1,3.0,-0.7,-0.2
