Station_ID,Latitude,Longitude,Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
AYD1,37.8407265492,27.83788451110001,5.407265734498334,0.8575771010411816,5.332111772365216,-0.26770933165260735,-0.00010714468961930761,-0.0053995716915985386,-0.0002677093316526074,3.055812910840741e-08,-4.3716994890759215e-09,-2.118303458361602e-08,-9.035082317776313e-08,-2.6697970729422794e-09,1.7106040852899284e-09
CESM,38.3038153588,26.3725707982,1.375868305280574,-0.4371591988057707,1.3040688312022302,-0.036192704540898096,0.0006143960986377852,-0.0012305369216696923,-3.61927045408981e-05,-4.683594870532447e-09,4.614722425568157e-09,1.5345208143463995e-08,-3.555397917097565e-09,1.905875610044717e-09,1.7517373048968368e-09
DATC,36.7085723539,27.691835665099973,129.60421683456957,-88.53975635559885,53.8986181003595,-77.80040830654373,0.0951793313515974,-0.04105172800382509,-0.07780040830654374,7.675778629603678e-06,-1.2107966677581323e-05,-7.674002244664442e-06,3.3011762213070486e-07,-1.3750912002358957e-05,1.0134472031126085e-05
DIDI,37.3721296973,27.26866140419997,13.606155373700059,-3.4874520645623113,13.11915774768532,0.9234945273228894,0.005279346286532556,-0.01250612348804163,0.0009234945273228894,-2.641316502979486e-08,1.625970556259096e-07,3.535598585362621e-07,-1.9697048003651299e-07,-1.753046343038087e-08,6.490707275643656e-08
IKAR,37.6282039878,26.224234334699982,1.3005607789996647,-0.5815251737627449,1.1306112178263574,0.2738705648251116,0.0007332164799117697,-0.0010386755254555595,0.0002738705648251116,-1.4398898315612205e-08,-4.1584234882656134e-09,2.0798618741775955e-08,8.794718650394824e-09,-8.755262278145017e-10,6.550680754562093e-09
IZMI,38.3948077729,27.081822277699985,2.1594616750175746,-0.2867398141973333,2.1322767149800987,-0.18560984773838116,0.000580704844565232,-0.0020716190754554065,-0.00018560984773838117,2.7913890189544507e-09,8.221991472640222e-09,1.591964159617721e-08,-1.85124217070183e-08,2.06812469445094e-09,-2.678099396143625e-10
KALY,36.9558024293,26.97615189200002,3.5534295742466924,-0.5571555533562288,1.984206729636327,2.89471295339646,0.0008278815573200314,-0.001887355500063285,0.00289471295339646,-5.193465292723406e-08,-2.3460156704780764e-07,8.096914493527087e-08,1.5361649372012804e-07,-8.16103435550383e-08,1.4009711376503743e-08
KATC,35.9514806193,27.78078263549997,6.594486897731389,0.7517812623308172,-6.546004989318582,-0.26814372596701525,-0.0016554927920279653,0.006377671989222943,-0.0002681437259670152,1.7506720130729294e-08,3.978626808073206e-08,8.975064182303203e-08,-9.438915462503333e-08,-5.91468236393316e-09,-6.486494979302218e-09
KIKA,39.1059919179,27.672205827200003,1.1680500691705489,0.0501616606989614,1.1573996692126425,-0.14916694537233233,0.00011140541014924705,-0.001153117089062117,-0.00014916694537233234,2.7972643234639956e-09,1.1748621347780851e-09,1.2983809425902808e-09,-9.03378886860575e-09,1.3360680755474296e-10,-8.596439067943884e-10
KRP1,35.4805247476,27.12028503739998,2.9280500904960594,-0.5479853314739259,-2.863284658299214,-0.27347828888550646,0.00014416017107051084,0.0029116841866931855,-0.00027347828888550646,1.1241861144832474e-08,-3.4150040577969308e-09,-1.3400102304143763e-08,-3.551133452649507e-08,2.5736111311826677e-09,1.379469384645592e-09
KRPS,35.5470891948,27.161062931300023,3.2670488296104767,-0.5897500479562184,-3.200135970520512,-0.29143216393453963,0.0001386377945186646,0.003251069810203192,-0.00029143216393453966,1.3511358670235189e-08,-3.584221993808805e-09,-1.468539587096859e-08,-4.196475495089564e-08,2.7707475662045437e-09,1.3799827348792958e-09
MNTS,38.426584765,26.71742915110002,1.6792461714744853,-0.3792772228890411,1.6317291935847495,-0.11608760232064395,0.0006026789348262533,-0.00156306413000742,-0.00011608760232064395,-1.3896825122056694e-09,6.658310322436295e-09,1.5657528783665644e-08,-9.6016141747169e-09,2.1394122064067567e-09,6.460070061804999e-10
