Station_ID,Latitude,Longitude,Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
ANIK,36.8260211464,22.28206732130002,4.4717610163675765,-3.0189309731743323,-3.2385644073996818,-0.6280150840842958,-0.001801523949250101,0.004044348538633348,-0.0006280150840842958,-1.981276874750813e-08,-7.210110930082454e-08,-6.70458169552719e-08,1.0968616394219848e-07,1.1545206584098677e-08,-3.0125938776637986e-08
JPA1,37.0407410126,22.092233399500003,3.1244321350191426,-1.3800142852333739,-2.774333285560995,-0.4008884626930925,-0.002014572715452994,0.0023543282228636253,-0.00040088846269309246,2.7887588130492512e-08,-5.3771224420097965e-08,-6.64371191440155e-08,2.8940419598058234e-08,1.1767247650700624e-08,-1.3751884304339301e-08
KALM,37.033726265,22.111371255200027,3.143679801295488,-1.4409837909748897,-2.7653024858455275,-0.39923748445933605,-0.0019824371367025335,0.0024069223342473014,-0.000399237484459336,2.518843992633421e-08,-5.4377621247958004e-08,-6.613470656074702e-08,3.1966436800072994e-08,1.1459018509485344e-08,-1.4030288191586067e-08
KERY,36.4932710153,22.383513569599984,5.568011527155492,-5.093713305593507,-2.003807354775264,-1.0205847401880277,0.00014575795264105927,0.0054717377289005414,-0.0010205847401880278,-7.032664971047443e-08,1.2061666945350968e-08,8.62323661256356e-08,1.963759102661011e-07,-1.4148123678453897e-08,-5.71978537590106e-08
KOPA,37.2895154126,21.81823142090002,1.5406296458775801,-0.291319076091326,-1.5006648984804243,-0.19151439666749007,-0.0012675418911053267,0.0008545171127128452,-0.00019151439666749006,2.811097919128665e-08,-1.326464583949386e-08,-2.5472133579725295e-08,-4.839644937558315e-09,5.444443878569229e-09,-3.6815845878929236e-09
KOR1,36.7975013801,21.95629645909997,8.682609396348216,-3.7003385836789136,-7.632647869046677,-1.8541539318051954,-0.005580051937557623,0.0063884927409276334,-0.0018541539318051954,1.0278005894590521e-07,-2.1807517522569865e-07,-2.590253522773772e-07,1.1200794288703154e-07,7.748902814384832e-08,-8.089657097304016e-08
MET4,36.8255146835,21.70457026790001,7.925055527942444,-0.7079108225194041,-7.651100145602645,-1.9406272053875138,-0.006766272023725128,0.0036411583420163963,-0.0019406272053875137,2.78017247031473e-07,-1.0161118919851659e-07,-2.0592570738073595e-07,-7.601046648390697e-08,1.1095980566517949e-07,-3.742815079183692e-08
MOL1,36.8055826723,22.850798760899977,1.4466250323058125,-1.2442981916418687,-0.7324530469527543,-0.08921058446280555,-0.00018804054804864704,0.0014315747301496915,-8.921058446280555e-05,-1.0694111528452817e-08,-4.795171798959038e-09,2.489589056369605e-09,3.07723709394391e-08,2.4914988604536916e-10,-3.984759684580093e-09
PTKG,36.4212589745,22.48954017379998,3.7154336324195834,-3.547861771631755,-0.9118979282721131,-0.6209396868630568,0.0005468535649259282,0.003622130886746197,-0.0006209396868630568,-2.8461671596242014e-08,2.699638686161949e-08,8.918293266065873e-08,1.0556488431375483e-07,-1.3251720335256748e-08,-2.993640204347315e-08
PYL1,36.9141727594,21.69530667409998,5.209655398593683,-0.41218304409280404,-5.072395792392609,-1.1141882406382047,-0.004508112199566605,0.0023613594247040397,-0.0011141882406382046,1.6639529215388527e-07,-5.2285531735210386e-08,-1.1674739778044774e-07,-4.698105344714887e-08,5.5253521116500616e-08,-1.871621383916854e-08
PYLO,36.8955119677,21.741968322200023,5.867982910842268,-0.799839024667638,-5.676326711566167,-1.254111653767731,-0.004912564283060239,0.002954173245871289,-0.001254111653767731,1.7474008007560874e-07,-8.045002377802797e-08,-1.4615433682783783e-07,-3.757640267095921e-08,6.250188197164322e-08,-2.662667616706724e-08
SPR2,37.0460153941,22.37209692469997,2.287150441281943,-1.3982331503761594,-1.7978748695758024,-0.20891900725673407,-0.001108619326607108,0.001989566077851211,-0.00020891900725673407,-1.4215851314763361e-11,-3.2151948279904233e-08,-3.406115054746309e-08,3.666860230838229e-08,4.02209135585275e-09,-8.348030157531033e-09
VASS,37.430444814,21.899260635400022,1.0991112844237343,-0.25904433726622667,-1.0624811584222855,-0.10988828361354211,-0.0008768023768006956,0.0006535960317418639,-0.0001098882836135421,1.626277201558475e-08,-9.124090329161387e-09,-1.6566929046722975e-08,-1.752099267090117e-09,2.5897166689458756e-09,-2.2924915105331602e-09
VLY1,37.1641089089,21.9835142279,2.256095017315215,-0.7339982518784639,-2.115641699359692,-0.2743565077127407,-0.0016606624871613376,0.0015022960219495118,-0.00027435650771274073,3.162187794533351e-08,-3.1226170982692036e-08,-4.467479604489522e-08,5.931571432084063e-09,8.200603484405253e-09,-7.374339358876914e-09
