Station_ID,Latitude,Longitude,Total Displacement [mm],dE [mm],dN [mm],dH [mm],ux [m],uy [m],uz [m],uxx,uxy,uyx,uyy,uzx,uzy
ABEL,38.9231888039,21.214994834200013,7.212429802579329,-6.131022493406281,-3.7938210414105877,0.19138638465421023,-0.005814291067122911,0.004263394691519684,0.00019138638465421024,1.6140149742508124e-07,-2.911362505017784e-08,-1.3368693239314964e-07,-2.530245557967005e-08,1.4337188039031885e-08,-1.8478416101890585e-08
AGNA,39.4836522542,21.84699739870001,1.4817617567276975,-1.2663168077429916,-0.7237496897111988,0.26123941657279615,-0.0011454196525818602,0.0009029870931573208,0.00026123941657279614,1.7999992662720596e-08,2.9536160196593915e-09,-1.3613965651495276e-08,-3.316477462337205e-09,-3.080083552562577e-09,-2.4315475344066508e-09
AGRI,38.623994895,21.409030168699985,7.476951928063911,-7.114956226860423,-2.270375155915709,0.357217966848585,-0.004770364702822112,0.005746375036560709,0.000357217966848585,2.0109098576568006e-09,-1.4298351157361405e-07,-6.230729977111732e-08,1.3672490467840094e-07,1.1475423142494498e-08,-1.3219447561036085e-08
AIGI,38.2419602042,22.072721371400007,1.2387755019596014,-1.1318327730875297,-0.4683291122809537,0.18489770309657252,-0.0008582192109733009,0.0008739778999272456,0.00018489770309657253,-6.4519220018775184e-09,-1.309992822993053e-08,2.400319172767677e-08,1.8602734019252e-08,5.6259340673940365e-09,2.5768130356409635e-09
AMFI,38.8924578869,21.14973226500001,8.495051802130007,-7.167677224482218,-4.559638733810197,-0.0017157065336790495,-0.006912682564414267,0.004937683864006116,-1.7157065336790496e-06,2.1049576451769042e-07,-3.052274400851498e-08,-1.6923766272540718e-07,-3.973617787507831e-08,2.7579345304941518e-08,-2.5003420859226854e-08
ANOC,38.5944987007,21.92510634979999,2.7906183681067387,-2.6429035936886787,-0.7889389765230852,0.42448411301824757,-0.001721540593229038,0.0021549157988363346,0.0004244841130182476,-4.526586146898496e-09,-3.4242074537564795e-08,-3.152082395482503e-09,4.008969674654365e-08,2.420271726358979e-09,4.281244737539614e-09
ARG2,38.175273488,20.484779164899976,29.539014566161832,1.7373166561248776,-28.000789692284876,9.246128324044887,-0.025311069843570996,-0.012100092393411166,0.009246128324044887,-1.5378048148812525e-06,6.965268501446684e-07,-7.45690879936639e-07,8.004532202952842e-07,9.48394373852009e-07,-7.250653612102723e-08
ARSA,38.3010818222,21.81672309459998,1.8756743749032236,-1.7517295263711372,-0.6288826718151762,0.2326039814765763,-0.0012392992901838157,0.001388591739072264,0.0002326039814765763,-1.2680377124977908e-08,-2.313873295521454e-08,4.035531602633325e-08,3.521578222931037e-08,7.810817037385085e-09,2.9382180943624784e-09
ART1,39.1588039978,20.991739572200004,2.6946677292567696,-2.4021431798782076,-1.2182679647002652,-0.08225254189095144,-0.0020294170609174685,0.0017708571606166932,-8.225254189095143e-05,6.76275887525441e-08,1.0557422504353077e-07,-3.789893793089581e-08,-2.5924531560960673e-08,7.768079325533048e-09,-1.4714521013192119e-08
ASSO,38.3778173592,20.541719498600003,103.74199772148263,11.30201692335463,-63.61816532600815,81.16277191706187,-0.05475192568904852,-0.03431083180752122,0.08116277191706188,3.72384452944137e-06,8.984026031743095e-07,-4.3729701569892437e-07,5.410757149363511e-06,2.7298573911251877e-06,9.495651215492166e-08
ATER,38.3172503054,20.41656152550001,26.606526499490183,-2.2544275788276558,-20.178871366797992,17.194125712641355,-0.01955404717008265,-0.0054688694093149885,0.017194125712641357,-1.0393194910210765e-06,4.530700774444927e-06,1.5135373399884796e-07,5.50914250353793e-07,1.74258008378921e-06,-2.7566866634359338e-06
DRA1,38.6838448037,20.574565830100028,11.659813580002783,-7.746412697515151,-4.462250977888674,-7.485496593448222,-0.007039184333533153,0.005510760146153505,-0.0074854965934482215,3.437358317520345e-07,3.1047303815604123e-06,3.2294026664965503e-09,1.435466364945278e-07,6.136465079781121e-07,1.4878672749493971e-06
EGIO,38.254630011,22.0754897356,1.2770454972628593,-1.1730807630360367,-0.4661355703264987,0.1935054406225414,-0.0008716371632886792,0.0009130440855199076,0.0001935054406225414,-6.636445034143129e-09,-1.3459678301973462e-08,2.3325606453325105e-08,1.935832159633299e-08,5.5295652961991805e-09,2.684746443693109e-09
EXAN,38.7539892129,20.61862249479998,8.505834041470624,-6.703787778822393,-3.231924413910999,-4.118629230741467,-0.0055078712385663855,0.005004943598093351,-0.004118629230741467,3.180702969813774e-07,1.7219200549776665e-06,-9.122381419954553e-08,-2.891217231497046e-08,3.187959346145291e-07,5.00246805330453e-07
EYPA,38.4267588657,21.92839763080002,2.2191802973308907,-2.1097947795225576,-0.6051065553357008,0.3276785575083372,-0.0013513880635634065,0.0017294907506746665,0.0003276785575083372,-1.0583766319102015e-08,-2.6305340710362082e-08,1.7662347737014403e-08,3.790335379092063e-08,5.107894425572954e-09,4.019213507508242e-09
FISK,38.4597236857,20.57705535719998,7.16020631698981,-3.7211572391038605,-3.99252069152884,-4.634794691401098,-0.005095770761115023,0.001954572337005262,-0.004634794691401097,-8.870107171529498e-07,9.97429595508626e-07,6.403830861531698e-06,-3.366572167320132e-07,-1.8231760952811653e-05,7.099011934295912e-08
GAL3,38.3753977349,22.39165158489999,1.1958593648838174,-1.1176975356245187,-0.35795505301582337,0.2295648480487459,-0.0007505870121065308,0.0009022187863138707,0.00022956484804874592,-3.996992937891172e-09,-1.0733310269678458e-08,8.46168529582347e-09,1.51183502136735e-08,2.806233533260509e-09,2.8562538510397643e-09
GEYB,38.3341071147,21.76636574989999,2.199471344337214,-2.0772401542961325,-0.6737466225247224,0.2623223676640243,-0.001402834848381444,0.0016735936060317334,0.0002623223676640243,-1.5490278046160084e-08,-2.8173654335296328e-08,4.238586847203104e-08,4.3765641409321734e-08,8.065090642256997e-09,3.0275094838809976e-09
HIMA,40.088882738,19.75818181059998,1.15441070484459,-0.4167789999408418,1.0315244381239153,-0.30808549823261083,0.000800284643244442,0.0007728466154585032,-0.0003080854982326108,-5.953497229056152e-09,-5.56174344128574e-09,-7.260537789318721e-09,-3.653857480151471e-09,2.00768465963266e-09,1.4515968546742929e-09
IGOU,39.5099889967,20.262682302799988,2.6316472341094133,-0.8602365888289744,2.4247906991902077,-0.5531276897392499,0.0019259764889199256,0.0017059400598400643,-0.0005531276897392498,-3.2558157859126215e-08,-5.755740895259959e-09,-3.128198408260857e-08,-5.069689805423155e-10,6.187779987774102e-09,1.5333514075534954e-11
ITEA,38.4309813455,22.430211599199996,1.2415289413700044,-1.1624132932536697,-0.3604430504868674,0.24550001075805206,-0.0007696446608293536,0.0009427464945752858,0.00024550001075805206,-3.5040873710136314e-09,-1.1008588680227305e-08,6.043505165200091e-09,1.504767065048911e-08,2.30533010560519e-09,2.9424991306307146e-09
KARP,38.911862597,21.80291337609998,3.362378977028243,-3.0506376701579754,-1.3246262544019412,0.4945376393397135,-0.002370961061780891,0.002332288265192925,0.0004945376393397135,2.3196396010888663e-08,-3.4368072726823166e-08,-3.490631269318879e-08,2.0905325110559024e-08,-2.477309072766273e-09,1.3221998150365398e-09
KASI,39.7463557334,19.93554084210001,1.8206620824184463,-0.6578354734059566,1.6407653071862043,-0.4358349630527538,0.0012748615962356147,0.0012245759322233386,-0.0004358349630527538,-1.2111703896255086e-08,-1.0847386499834774e-08,-1.4832755346731601e-08,-6.72430262617735e-09,3.2463911024970584e-09,2.232216713026332e-09
KER1,39.4937200128,19.87339933010003,2.52607897785327,-1.0029675120098955,2.2555672587555127,-0.5362345694143957,0.0017156073022267188,0.0017748856508134653,-0.0005362345694143958,-1.2069422787995068e-08,-2.3462090946977545e-08,-1.9445750626702195e-08,-1.8324170267777555e-08,2.290063413024996e-09,4.454614066258918e-09
KIPO,38.203185999,20.348351809699977,9.449871325900938,2.005654333465737,-8.25012746337782,4.1488330418027095,-0.006898053644732498,-0.004950162460134367,0.004148833041802709,-4.1805051186229877e-07,1.6253396257946378e-06,-9.757702071911089e-08,1.0084323435625054e-07,3.428032620032447e-07,-4.3788903798370363e-07
KLOK,39.5647361224,22.01438613160002,1.2428899341081803,-1.0638586707057465,-0.5957896077294855,0.2408627418119793,-0.0009509349775145188,0.0007632058676751075,0.0002408627418119793,1.3294628283868286e-08,1.4571702095768377e-09,-1.0397516949832892e-08,-2.061559449633497e-09,-2.681285253781998e-09,-1.6530361062986231e-09
KOPA,37.2895154126,21.81823142090002,1.2989096035586158,0.6004903075075176,-1.1185221922252409,-0.2747465273774522,-0.0008121280891312272,-0.0009757707060344111,-0.0002747465273774522,1.7449485924290696e-09,-1.1310080837095255e-08,1.0161659233014687e-09,-1.3730833055079502e-08,1.1523899466559462e-09,-2.9704573305524967e-09
KOUN,38.2094545658,22.0458210063,1.1586268881244068,-1.0383059803755084,-0.4879344985462594,0.16203975478169202,-0.0008413612553700713,0.0007799170607937957,0.00016203975478169203,-6.072957153302728e-09,-1.2559428237718246e-08,2.6739233826601388e-08,1.6956604032036183e-08,6.023017404441317e-09,2.2839168705519557e-09
KRDI,39.3664873526,21.922643838,1.7354116145574947,-1.4921760989892556,-0.8284354499666914,0.31425891679432677,-0.0013270909789788977,0.0010731842053762898,0.00031425891679432675,1.924699691498271e-08,-2.3702937981829163e-09,-1.6463793940704406e-08,-1.4261613327857256e-09,-3.422646856016402e-09,-1.5124805615069563e-09
KRIN,38.1894059587,21.959839376899996,1.1621110951352986,-1.0139122580177014,-0.549591055465496,0.14294685106826,-0.000889390170240574,0.0007342026425215825,0.00014294685106826,-6.29298932099016e-09,-1.3461875688619146e-08,3.327995228933133e-08,1.691796473822011e-08,6.924067411529635e-09,2.021986675407971e-09
KTCH,38.4115829342,21.246931431699977,6.883692225150895,-6.7107515563895515,-1.5305785650142008,-0.09144099374545776,-0.003933019513426788,0.005648735672897948,-9.144099374545777e-05,-1.0206381120741887e-07,-1.3916659172953242e-07,2.0066773824694537e-07,2.409906070678255e-07,4.8387291178658315e-09,-3.611749068778167e-08
KTIM,39.1344654973,22.11999339549999,1.9698313851371934,-1.7495835500270458,-0.8225836348793082,0.3775569506379377,-0.0014180917988631052,0.0013140403665389039,0.0003775569506379377,1.4088054888749197e-08,-1.2687608085522026e-08,-1.714727827854461e-08,6.336506753785084e-09,-2.918778969440072e-09,9.618197686920474e-10
LAM8,38.3203925224,21.973148346000016,1.6675616595332745,-1.5632531577468411,-0.5261455869145837,0.24530037609063612,-0.0010734386334089797,0.0012523254825085304,0.0002453003760906361,-9.295063658387811e-09,-1.8690355519788493e-08,2.547751177230524e-08,2.80382036967066e-08,5.950783987134937e-09,3.2931531399798282e-09
LAMJ,38.898199745,22.43222064589997,1.597558179189803,-1.463936737464092,-0.5441148874093507,0.3361849995147587,-0.0010528948928332032,0.0011535094826845844,0.0003361849995147587,3.771586645355453e-09,-1.2991982372885442e-08,-8.130066302671742e-09,1.1316826772302058e-08,-9.78289624037902e-10,2.533753679584078e-09
LARM,39.6141088938,22.38791387020001,1.0156157305581657,-0.8740743369196183,-0.46540532868433626,0.2255376813926022,-0.0007589503163311959,0.0006360837081469885,0.0002255376813926022,8.261713648091225e-09,-1.2837007505950876e-09,-7.318031079673959e-09,-2.0620180508767303e-10,-2.1075141008948832e-09,-4.720351492445091e-10
LEPE,38.7097747089,21.29000055490002,9.728066830214319,-8.991404155590812,-3.7100259025807496,0.16013546178221272,-0.006808115397648994,0.006946884598097952,0.00016013546178221273,8.072963119432306e-08,-1.8501862636524917e-07,-1.603058558085435e-07,1.1376755416206464e-07,2.266979420060024e-08,-2.8713362976398367e-08
